0,0,2.56,0,2.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
1,0,2.56,42,44.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
2,0,2.56,84,86.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
3,42,44.56,0,2.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
4,42,44.56,42,44.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
5,42,44.56,84,86.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
6,84,86.56,0,2.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
7,84,86.56,42,44.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
8,84,86.56,84,86.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 0.0, 'y2': 100.0}"
9,0,2.56,126,128.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
10,0,2.56,168,170.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
11,0,2.56,210,212.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
12,42,44.56,126,128.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
13,42,44.56,168,170.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
14,42,44.56,210,212.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
15,84,86.56,126,128.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
16,84,86.56,168,170.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
17,84,86.56,210,212.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 126.0, 'y2': 226.0}"
18,0,2.56,252,254.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 252.0, 'y2': 352.0}"
19,0,2.56,294,296.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 252.0, 'y2': 352.0}"
20,0,2.56,336,338.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 252.0, 'y2': 352.0}"
21,42,44.56,252,254.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 252.0, 'y2': 352.0}"
22,42,44.56,294,296.56,"{'x1': 0.0, 'x2': 100.0, 'y1': 252.0, 'y2': 352.0}"
